K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:15 Page   1
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547379 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547380 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547381 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547382 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547383 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547384 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547385 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547386 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547387 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547388 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547389 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547390 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547391 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547392 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547393 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547394 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547395 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547396 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547397 05-07-20 001049                                    37.76  Demag 5                   28     0000864768
                   350000 60                                 37.76- Demag 5                   28     0000864768
000547420 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547421 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547422 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547423 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547424 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547425 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547426 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547427 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547428 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547429 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768

K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:15 Page   3
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
000547430 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547431 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547432 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547433 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547434 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547435 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547436 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547437 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547438 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547439 05-07-20 100112 60     ACBBOT                     125.45  16-03-8011                       0000864768
                   001049                                   125.45- 16-03-8011                       0000864768
000547459 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547460 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547461 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547462 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547463 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547464 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547465 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547466 05-07-20 001049                                    11.05  14-05-0085                       0000864769
                   001021 60     ACBBOT                      11.05- 14-05-0085                       0000864769
000547484 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547485 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547486 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547487 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547488 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547489 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547490 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547491 05-07-20 001049                                   102.11  14-01-0200                       0000864769
                   001021 60     ACBBOT                     102.11- 14-01-0200                       0000864769
000547509 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547510 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547511 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547512 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547513 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547514 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547515 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547516 05-07-20 001049                                     0.88  14-14-0004                       0000864769
                   001021 60     ACBBOT                       0.88- 14-14-0004                       0000864769
000547534 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547535 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547536 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547537 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547538 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547539 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547540 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547541 05-07-20 001049                                     0.29  10-06-0230                       0000864769
                   001021 60     ACBBOT                       0.29- 10-06-0230                       0000864769
000547559 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547560 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547561 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547562 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547563 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547564 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547565 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547566 05-07-20 001049                                    99.45  DEMAG 4                   27     0000864769
                   350000 60                                 99.45- DEMAG 4                   27     0000864769
000547584 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769
000547585 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769
000547586 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769
000547587 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769
000547588 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769
000547589 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769
000547590 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769

K K KINGSTON LIMITED                         * *  WIP-JOURNAL MPC  * *                    06072020 09:58:16 Page   4
                                TRANSACTION NO. : 000562396 BOOK ENTRY DATE : 05-07-20
                                                 Currency Code : PGK
COMPANY 01 FIN.YEAR 20===============================================================================/Scala/MP0632/6
TRANS-    TRANSDAT ACC    CC     PRD    PRJ                  AMOUNT TEXT--------------------- WORK.C WO-NO-----
====================================================================================================================
000547591 05-07-20 100112 60     ACBBOT                     213.78  16-03-8414                       0000864769
                   001049                                   213.78- 16-03-8414                       0000864769
000547617 05-07-20 001049                                   397.23  14-01-0102                       0000864774
                   001021 60     ACBBOT                     397.23- 14-01-0102                       0000864774
000547618 05-07-20 001049                                   397.23  14-01-0102                       0000864774
                   001021 60     ACBBOT                     397.23- 14-01-0102                       0000864774
000547619 05-07-20 001049                                   397.23  14-01-0102                       0000864774
                   001021 60     ACBBOT                     397.23- 14-01-0102                       0000864774
000547620 05-07-20 001049                                   397.23  14-01-0102                       0000864774
                   001021 60     ACBBOT                     397.23- 14-01-0102                       0000864774
000547621 05-07-20 001049                                   397.23  14-01-0102                       0000864774
                   001021 60     ACBBOT                     397.23- 14-01-0102                       0000864774
000547633 05-07-20 001049                                    35.08  14-05-0070                       0000864774
                   001021 60     ACBBOT                      35.08- 14-05-0070                       0000864774
000547634 05-07-20 001049                                    35.08  14-05-0070                       0000864774
